 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT
131072.0 131072.0 66851.7  0.0   262144.0 205193.2 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 206753.5 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 210510.7 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 214530.5 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 217769.7 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 218735.7 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 221224.4 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 223733.7 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 227810.1 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 231310.1 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 232901.6 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 234778.1 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 237851.5 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 241400.2 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 244697.2 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 246816.4 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 247883.1 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 250715.0 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 254733.1 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 259179.2 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 260265.0 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0 66851.7  0.0   262144.0 261915.4 4718592.0  1534127.4  131072.0 7302.4   1422   34.928   0      0.000   34.928
131072.0 131072.0  0.0   99378.5 262144.0  3202.8  4718592.0  1534127.4  131072.0 7302.4   1423   34.954   0      0.000   34.954
131072.0 131072.0  0.0   99378.5 262144.0  9701.2  4718592.0  1534127.4  131072.0 7302.4   1423   34.954   0      0.000   34.954
131072.0 131072.0  0.0   99378.5 262144.0 12308.4  4718592.0  1534127.4  131072.0 7302.4   1423   34.954   0      0.000   34.954
131072.0 131072.0  0.0   99378.5 262144.0 13048.8  4718592.0  1534127.4  131072.0 7302.4   1423   34.954   0      0.000   34.954
131072.0 131072.0  0.0   99378.5 262144.0 15363.0  4718592.0  1534127.4  131072.0 7302.4   1423   34.954   0      0.000   34.954
131072.0 131072.0  0.0   99378.5 262144.0 17941.2  4718592.0  1534127.4  131072.0 7302.4   1423   34.954   0      0.000   34.954
131072.0 131072.0  0.0   99378.5 262144.0 20521.4  4718592.0  1534127.4  131072.0 7302.4   1423   34.954   0      0.000   34.954
131072.0 131072.0  0.0   99378.5 262144.0 25577.3  4718592.0  1534127.4  131072.0 7302.4   1423   34.954   0      0.000   34.954
131072.0 131072.0  0.0   99378.5 262144.0 27874.6  4718592.0  1534127.4  131072.0 7302.4   1423   34.954   0      0.000   34.954
131072.0 131072.0  0.0   99378.5 262144.0 28377.1  4718592.0  1534127.4  131072.0 7302.4   1423   34.954   0      0.000   34.954
131072.0 131072.0  0.0   99378.5 262144.0 30909.3  4718592.0  1534127.4  131072.0 7302.4   1423   34.954   0      0.000   34.954
131072.0 131072.0  0.0   99378.5 262144.0 34588.1  4718592.0  1534127.4  131072.0 7302.4   1423   34.954   0      0.000   34.954
131072.0 131072.0  0.0   99378.5 262144.0 38169.8  4718592.0  1534127.4  131072.0 7302.4   1423   34.954   0      0.000   34.954
131072.0 131072.0  0.0   99378.5 262144.0 38780.0  4718592.0  1534127.4  131072.0 7302.4   1423   34.954   0      0.000   34.954
